Sample_ID,AKT1,APC,BRAF,CDKN2A,CTNNB1,EGFR,ERBB2,FBXW7,KRAS,MSH2,MSH6,NRAS,PIK3CA,PTEN,SMAD4,SMARCB1,STK11,TP53
GSM734111,9.98441845880114,7.257387842692652,8.060695931687555,7.285402218862249,10.658211482751796,8.405141463136344,12.077817120895904,7.721099188707186,10.113742166049189,10.72451385311995,10.20212382383046,10.587777516328211,7.679480099505446,9.52552080909507,8.741466986401146,8.857980995127573,8.344295907915816,9.65284497300198
GSM734112,9.96434086779242,7.044394119358453,8.124121311829187,7.426264754702098,10.339850002884624,8.375039431346924,8.038918989292302,8.294620748891626,10.27262978497637,10.389093521904474,9.874981347653774,10.884933647949762,7.965784284662087,9.501837184902296,8.330916878114618,8.839203788096945,8.169925001442312,7.05528243550119
GSM734113,10.064742764750257,8.16490692667569,8.31741261376487,8.409390936137703,11.624338545312984,8.499845887083206,8.997179480937621,7.622051819456376,9.67065624911844,9.65642486327778,9.152284842306582,10.83605035505807,8.658211482751796,9.245552706255683,8.57742882803575,8.7714894695006,7.90086680798075,9.372865060112588
GSM734114,9.355351096424812,7.839203788096944,7.894817763307945,8.0,11.19537220740274,8.75488750216347,8.154818109052105,8.257387842692651,9.86418614465428,9.649256177517314,8.89178370321831,10.622051819456376,7.348728154231078,9.60733031374961,8.744833837499545,8.832890014164743,8.092757140919852,10.015415052386688
GSM734115,9.52552080909507,7.366322214245815,8.118941072723507,7.139551352398794,11.046441948007311,8.927777962082342,8.566054038171092,7.820178962415189,9.54882190845875,9.211888294546004,9.221587121264806,10.26209484537018,7.569855608330948,9.603626344986193,8.20945336562895,8.693486957499326,8.344295907915816,10.264442600226602
GSM734116,9.586839787961829,6.78135971352466,7.94251450533924,7.665335917185176,10.858758099935422,8.257387842692651,8.400879436282185,7.930737337562887,9.449148645375436,8.879583249612784,8.794415866350105,10.651948610723448,7.434628227636725,9.527477006060396,7.599912842187128,9.030667136246942,8.679480099505447,9.581200581924955
GSM734117,9.469641817239516,7.507794640198696,7.826548487290916,7.672425341971495,10.938844457466171,9.243173983472952,8.816983623255382,8.044394119358454,9.839203788096944,9.667111542075029,9.63662462054365,11.127994320976397,8.228818690495881,9.283088353024002,8.129283016944965,8.515699838284043,7.754887502163469,7.622051819456376
GSM734118,9.80896417491926,7.209453365628949,7.839203788096944,7.247927513443586,11.135067945777816,8.076815597050832,7.832890014164742,7.774787059601174,10.30720080914081,10.31174831500496,10.111135670234708,10.957827560833744,7.94251450533924,9.084808387804362,8.459431618637296,8.622051819456377,8.066089190457772,9.83605035505807
GSM734119,10.090112419664289,7.257387842692652,7.787902559391432,7.499845887083206,10.810571634741148,7.86418614465428,8.915879378835772,7.734709620225839,10.040289721025715,9.894817763307945,9.791162888555018,10.380461065088976,7.577428828035749,9.622051819456376,8.422064766172811,8.625708843064466,8.519636252843213,7.794415866350106
GSM734120,9.233619676759702,7.569855608330948,8.016808287686553,7.247927513443586,10.685624839726357,8.894817763307945,8.430452551665532,7.948367231584678,10.14338321398982,9.52943055414615,9.283088353024002,10.870364719583405,8.038918989292302,9.400879436282183,8.149747119504683,8.854868383260238,8.303780748177104,9.573647187493323
