,AKT1,APC,BRAF,CDKN2A,CTNNB1,EGFR,ERBB2,FBXW7,KRAS,MSH2,MSH6,NRAS,PIK3CA,PTEN,SMAD4,SMARCB1,STK11,TP53
count,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0,2365.0
mean,9.536236100806919,7.0778143711568715,7.6263196444076735,7.058613583467677,10.723089438879972,7.984785836374841,8.465618601479878,7.686825468352519,9.842875821254987,9.28851517696464,9.215351138921463,10.483052391628192,7.533755575750669,9.366512032682012,7.9511197455847045,8.46743412848404,7.8725610206586545,8.898569757973354
std,0.6282944603240996,0.6171201924353179,0.40299717599142315,0.9830472708133624,0.7609602255767506,0.7291963220204569,0.7692039083844598,0.42227177507372066,0.5573287932830621,0.7395823668003073,0.5423937149239314,0.5062933507988246,0.507688363334804,0.4769923439532231,0.5700486521917991,0.708664288153527,0.5118368032665161,1.3219423217417599
min,5.08746284125034,4.321928094887363,6.189824558880018,3.321928094887362,8.581200581924957,4.954196310386876,5.0,4.700439718141093,6.375039431346925,5.169925001442312,6.475733430966398,7.90086680798075,4.857980995127573,5.807354922057605,4.392317422778761,5.523561956057013,5.169925001442312,3.906890595608519
25%,9.23840473932508,6.727920454563199,7.348728154231078,6.39231742277876,10.19598729802851,7.507794640198696,8.154818109052105,7.442943495848729,9.541096615349524,8.90086680798075,8.92481250360578,10.176173149107491,7.219168520462162,9.18239435340453,7.614709844115207,8.247927513443585,7.562242424221073,8.022367813028454
50%,9.640244936222349,7.149747119504682,7.636624620543649,7.076815597050832,10.69522829149575,8.027905996569885,8.515699838284043,7.693486957499325,9.871905237659186,9.394462694610317,9.243173983472952,10.53430288245463,7.554588851677638,9.407267764244732,7.98299357469431,8.654636028527968,7.882643049361842,9.273795599214266
75%,9.95274124718649,7.515699838284044,7.912889336229962,7.607330313749611,11.213104219641908,8.499845887083206,8.861086905995393,7.948367231584678,10.163649676015826,9.776433032444734,9.558420713268664,10.810571634741148,7.845490050944376,9.622051819456376,8.361943773735241,8.909893083770042,8.257387842692651,9.89026427702111
max,11.211888294546004,8.625708843064466,8.951284714966972,11.5980525001616,12.898034475991487,12.7737573721398,13.585901449690772,9.131856960608792,12.93258386928929,11.78135971352466,11.67595703294175,12.117643101389092,10.411510988012072,10.834471049984222,10.032045726930807,9.96434086779242,9.7714894695006,11.481799431665753
